prison_type,convicted_status,offense_category,specific_offense,number,long_name
Local,Convicted,Property,Burglary,11390,People held in local jails who have been convicted of burglary.
Local,Convicted,Property,Arson,626,People held in local jails who have been convicted of arson.
Local,Convicted,Property,Car theft,4380,People held in local jails who have been convicted of car theft.
Local,Convicted,Property,Fraud,8774,People held in local jails who have been convicted of fraud.
Local,Convicted,Property,Larceny-theft,15231,People held in local jails who have been convicted of larceny-theft.
Local,Convicted,Property,Stolen property,3559,People held in local jails who have been convicted of stolen property.
Local,Convicted,Property,Other property,4208,People held in local jails who have been convicted of other property offenses.
Local,Convicted,Drugs,Drug trafficking,16435,People held in local jails who have been convicted of drug trafficking.
Local,Convicted,Drugs,Drug possession,19599,People held in local jails who have been convicted of drug possession.
Local,Convicted,Drugs,Drug other,3523,People held in local jails who have been convicted of other drug offenses.
Local,Convicted,Drugs,Possession with intent,5793,People held in local jails who have been convicted of possession with intent.
Local,Convicted,Public order,Violation of parole/probation,6395,People held in local jails who have been convicted of violation of parole/probation.
Local,Convicted,Public Order,Weapons,3533,People held in local jails who have been convicted of weapons offenses.
Local,Convicted,Public order,Other public order,6095,People held in local jails who have been convicted of other public order offenses.
Local,Convicted,Public order,Obstruction of Justice,7343,People held in local jails who have been convicted of obstruction of justice.
Local,Convicted,Public order,Traffic,11169,People held in local jails who have been convicted of traffic offenses.
Local,Convicted,Public Order,Driving While Intoxicated,19600,People held in local jails who have been convicted of driving while intoxicated.
Local,Convicted,Public Order,Drunkenness/morals,4294,People held in local jails who have been convicted of drunkenness/morals offenses.
Local,Convicted,Public Order,Immigration violations,750,People held in local jails who have been convicted of immigration violations.
Local,Convicted,Other,,1035,People held in local jails who have been convicted of other offenses.
Local,Not convicted,Violent,Murder,16581,People held in local jails but not convicted of the offense of murder.
Local,Not convicted,Violent,Negligent manslaughter,1194,People held in local jails but not convicted of the offense of negligent manslaughter.
Local,Not convicted,Violent,Kidnapping,5387,People held in local jails but not convicted of the offense of kidnapping.
Local,Not convicted,Violent,Rape,2578,People held in local jails but not convicted of the offense of rape.
Local,Not convicted,Violent,Other sexual assault,13773,People held in local jails but not convicted of the offense of other sexual assault.
Local,Not convicted,Violent,Robbery,35463,People held in local jails but not convicted of the offense of robbery.
Local,Not convicted,Violent,Assault,60577,People held in local jails but not convicted of the offense of assault.
Local,Not convicted,Violent,Other violent,7095,People held in local jails but not convicted of the offense of other violent.
Local,Not convicted,Property,Burglary,34836,People held in local jails but not convicted of the offense of burglary.
Local,Not convicted,Property,Arson,1404,People held in local jails but not convicted of the offense of arson.
Local,Not convicted,Property,Car theft,8134,People held in local jails but not convicted of the offense of car theft.
Local,Not convicted,Property,Fraud,23657,People held in local jails but not convicted of the offense of fraud.
Local,Not convicted,Property,Larceny-theft,28717,People held in local jails but not convicted of the offense of larceny-theft.
Local,Not convicted,Property,Stolen property,7354,People held in local jails but not convicted of the offense of stolen property.
Local,Not convicted,Property,Other property,8150,People held in local jails but not convicted of the offense of other property.
Local,Not convicted,Drugs,Drug trafficking,42269,People held in local jails but not convicted of the offense of drug trafficking.
Local,Not convicted,Drugs,Drug possession,55442,People held in local jails but not convicted of the offense of drug possession.
Local,Not convicted,Drugs,Drug other,8052,People held in local jails but not convicted of the offense of drug other.
Local,Not convicted,Drugs,Possession with intent,9047,People held in local jails but not convicted of the offense of possession with intent.
Local,Not convicted,Public order,Violation of parole/probation,10947,People held in local jails but not convicted of the offense of violation of parole/probation.
Local,Not convicted,Public Order,Weapons,10060,People held in local jails but not convicted of the offense of weapons.
Local,Not convicted,Public order,Other public order,7475,People held in local jails but not convicted of the offense of other public order.
Local,Not convicted,Public order,Obstruction of Justice,16125,People held in local jails but not convicted of the offense of obstruction of justice.
Local,Not convicted,Public order,Traffic,9409,People held in local jails but not convicted of the offense of traffic.
Local,Not convicted,Public Order,Driving While Intoxicated,15353,People held in local jails but not convicted of the offense of driving while intoxicated.
Local,Not convicted,Public Order,Drunkenness/morals,6779,People held in local jails but not convicted of the offense of drunkenness/morals.
Local,Not convicted,Public Order,Immigration violations,2811,People held in local jails but not convicted of the offense of immigration violations.
Local,Not convicted,Other,Other,2447,People held in local jails but not convicted of other offenses.
Kids,,person,criminal homicide,801,Children held as delinquents for the offense of criminal homicide.
Kids,,person,sexual assault,3914,Children held as delinquents for the offense of sexual assault.
Kids,,person,robbery,5708,Children held as delinquents for the offense of robbery.
Kids,,person,aggravated assault,5260,Children held as delinquents for the offense of aggravated assault.
Kids,,person,simple assault,5250,Children held as delinquents for the offense of simple assault.
Kids,,person,other person,2031,Children held as delinquents for the offense of other person.
Kids,,property,burglary,6687,Children held as delinquents for the offense of burglary.
Kids,,property,theft,3364,Children held as delinquents for the offense of theft.
Kids,,property,auto theft,1781,Children held as delinquents for the offense of auto theft.
Kids,,property,arson,448,Children held as delinquents for the offense of arson.
Kids,,property,other property,2425,Children held as delinquents for other property offenses.
Kids,,drug,drug trafficking ,737,Children held as delinquents for the offense of drug trafficking.
Kids,,drug,other drug ,3578,Children held as delinquents for other drug offenses.
Kids,,public order,weapons,2647,Children held as delinquents for the offense of weapons.
Kids,,public order,other public order,4670,Children held as delinquents for other public order offenses.
Kids,,technical,technical violation,9883,Children held as delinquents for technical violations.
Kids,,status offense,,2239,Children held for status offenses.
Kids,,Other,other residents (21+ or people awaiting trial),7392,Other people held in juvenile institutions.
