key,convicted_status,long_name,number,offense_category,prison_type,specific_offense
84,Not convicted,People held in local jails but not convicted of the offense of burglary.,34836,property,Local,Burglary
85,Not convicted,People held in local jails but not convicted of the offense of arson.,1404,property,Local,Arson
86,Not convicted,People held in local jails but not convicted of the offense of car theft.,8134,property,Local,Car theft
87,Not convicted,People held in local jails but not convicted of the offense of fraud.,23657,property,Local,Fraud
88,Not convicted,People held in local jails but not convicted of the offense of larceny-theft.,28717,property,Local,Larceny-theft
89,Not convicted,People held in local jails but not convicted of the offense of stolen property.,7354,property,Local,Stolen property
90,Not convicted,People held in local jails but not convicted of the offense of other property.,8150,property,Local,Other property
91,Not convicted,People held in local jails but not convicted of the offense of drug trafficking.,42269,drugs,Local,Drug trafficking
92,Not convicted,People held in local jails but not convicted of the offense of drug possession.,55442,drugs,Local,Drug possession
93,Not convicted,People held in local jails but not convicted of the offense of drug other.,8052,drugs,Local,Drug other
94,Not convicted,People held in local jails but not convicted of the offense of possession with intent.,9047,drugs,Local,Possession with intent
95,Not convicted,People held in local jails but not convicted of the offense of violation of parole/probation.,10947,public order,Local,Violation of parole/probation
96,Not convicted,People held in local jails but not convicted of the offense of weapons.,10060,public order,Local,Weapons
97,Not convicted,People held in local jails but not convicted of the offense of other public order.,7475,public order,Local,Other public order
98,Not convicted,People held in local jails but not convicted of the offense of obstruction of justice.,16125,public order,Local,Obstruction of Justice
99,Not convicted,People held in local jails but not convicted of the offense of traffic.,9409,public order,Local,Traffic
100,Not convicted,People held in local jails but not convicted of the offense of driving while intoxicated.,15353,public order,Local,Driving While Intoxicated
101,Not convicted,People held in local jails but not convicted of the offense of drunkenness/morals.,6779,public order,Local,Drunkenness/morals
102,Not convicted,People held in local jails but not convicted of the offense of immigration violations.,2811,public order,Local,Immigration violations
103,Not convicted,People held in local jails but not convicted of other offenses.,2447,other,Local,Other
104,,Children held as delinquents for the offense of criminal homicide.,801,person,Kids,criminal homicide
105,,Children held as delinquents for the offense of sexual assault.,3914,person,Kids,sexual assault
106,,Children held as delinquents for the offense of robbery.,5708,person,Kids,robbery
107,,Children held as delinquents for the offense of aggravated assault.,5260,person,Kids,aggravated assault
108,,Children held as delinquents for the offense of simple assault.,5250,person,Kids,simple assault
109,,Children held as delinquents for the offense of other person.,2031,person,Kids,other person
110,,Children held as delinquents for the offense of burglary.,6687,property,Kids,burglary
111,,Children held as delinquents for the offense of theft.,3364,property,Kids,theft
112,,Children held as delinquents for the offense of auto theft.,1781,property,Kids,auto theft
113,,Children held as delinquents for the offense of arson.,448,property,Kids,arson
114,,Children held as delinquents for other property offenses.,2425,property,Kids,other property
115,,Children held as delinquents for the offense of drug trafficking.,737,drugs,Kids,drug trafficking 
116,,Children held as delinquents for other drug offenses.,3578,drugs,Kids,other drug 
117,,Children held as delinquents for the offense of weapons.,2647,public order,Kids,weapons
118,,Children held as delinquents for other public order offenses.,4670,public order,Kids,other public order
119,,Children held as delinquents for technical violations.,9883,technical,Kids,technical violation
120,,Children held for status offenses.,2239,status offense,Kids,
121,,Other people held in juvenile institutions.,7392,other,Kids,other residents (21+ or people awaiting trial)
